'The Doctor' Romanov | Sabre,$4.59,$4.79
MAG-7 | Firestarter (Well-Worn),$0.35,$0.36
MAG-7 | Hard Water (Factory New),$1.26,$1.31
MAG-7 | Hard Water (Field-Tested),$0.75,$0.78
MAG-7 | Hard Water (Minimal Wear),$0.96,$1.00
MAG-7 | Hard Water (Well-Worn),$0.73,$0.76
MAG-7 | Hazard (Battle-Scarred),$4.80,$5.01
MAG-7 | Hazard (Factory New),$87.56,$91.54
MAG-7 | Hazard (Field-Tested),$3.16,$3.30
MAG-7 | Hazard (Minimal Wear),$6.11,$6.38
MAG-7 | Hazard (Well-Worn),$5.81,$6.07
MAG-7 | Heat (Battle-Scarred),$0.37,$0.38
MAG-7 | Heat (Factory New),$2.40,$2.50
MAG-7 | Heat (Field-Tested),$0.45,$0.47
MAG-7 | Heat (Minimal Wear),$0.97,$1.01
MAG-7 | Heat (Well-Worn),$0.36,$0.37
MAG-7 | Heaven Guard (Factory New),$0.33,$0.34
MAG-7 | Heaven Guard (Field-Tested),$0.13,$0.14
MAG-7 | Heaven Guard (Minimal Wear),$0.22,$0.23
MAG-7 | Heaven Guard (Well-Worn),$0.20,$0.21
MAG-7 | Irradiated Alert (Battle-Scarred),$0.48,$0.50
MAG-7 | Irradiated Alert (Factory New),$5.14,$5.37
MAG-7 | Irradiated Alert (Field-Tested),$0.56,$0.58
MAG-7 | Irradiated Alert (Minimal Wear),$1.19,$1.24
MAG-7 | Irradiated Alert (Well-Worn),$0.42,$0.43
MAG-7 | Justice (Battle-Scarred),$3.23,$3.37
MAG-7 | Justice (Factory New),$18.54,$19.38
MAG-7 | Justice (Field-Tested),$4.70,$4.91
MAG-7 | Justice (Minimal Wear),$9.46,$9.89
MAG-7 | Justice (Well-Worn),$3.60,$3.76
MAG-7 | Memento (Factory New),$2.31,$2.41
MAG-7 | Memento (Field-Tested),$1.40,$1.46
MAG-7 | Memento (Minimal Wear),$1.39,$1.45
MAG-7 | Metallic DDPAT (Factory New),$0.17,$0.18
MAG-7 | Metallic DDPAT (Minimal Wear),$0.16,$0.17
MAG-7 | Petroglyph (Factory New),$1.00,$1.04
MAG-7 | Petroglyph (Field-Tested),$0.35,$0.36
MAG-7 | Petroglyph (Minimal Wear),$0.53,$0.55
MAG-7 | Petroglyph (Well-Worn),$0.36,$0.37
MAG-7 | Popdog (Battle-Scarred),$0.08,$0.09
MAG-7 | Popdog (Factory New),$0.23,$0.24
MAG-7 | Popdog (Field-Tested),$0.08,$0.09
MAG-7 | Popdog (Minimal Wear),$0.10,$0.11
MAG-7 | Popdog (Well-Worn),$0.09,$0.10
MAG-7 | Praetorian (Factory New),$1.91,$1.99
MAG-7 | Praetorian (Field-Tested),$0.95,$0.99
MAG-7 | Praetorian (Minimal Wear),$1.32,$1.38
MAG-7 | Praetorian (Well-Worn),$1.03,$1.07
MAG-7 | Rust Coat (Battle-Scarred),$0.04,$0.05
MAG-7 | Rust Coat (Factory New),$0.10,$0.11
MAG-7 | Rust Coat (Field-Tested),$0.03,$0.04
MAG-7 | Rust Coat (Minimal Wear),$0.05,$0.06
MAG-7 | Rust Coat (Well-Worn),$0.03,$0.04
MAG-7 | Sand Dune (Battle-Scarred),$0.29,$0.30
MAG-7 | Sand Dune (Factory New),$5.98,$6.25
MAG-7 | Sand Dune (Field-Tested),$0.30,$0.31
MAG-7 | Sand Dune (Minimal Wear),$0.60,$0.62
MAG-7 | Sand Dune (Well-Worn),$0.29,$0.30
MAG-7 | Seabird (Battle-Scarred),$0.22,$0.23
MAG-7 | Seabird (Factory New),$1.57,$1.64
MAG-7 | Seabird (Field-Tested),$0.30,$0.31
MAG-7 | Seabird (Minimal Wear),$0.53,$0.55
MAG-7 | Seabird (Well-Worn),$0.23,$0.24
MAG-7 | Silver (Factory New),$3.69,$3.85
MAG-7 | Silver (Minimal Wear),$4.13,$4.31
MAG-7 | Sonar (Factory New),$0.26,$0.27
MAG-7 | Sonar (Field-Tested),$0.11,$0.12
MAG-7 | Sonar (Minimal Wear),$0.17,$0.18
MAG-7 | Sonar (Well-Worn),$0.13,$0.14
MAG-7 | Storm (Battle-Scarred),$0.08,$0.09
MAG-7 | Storm (Factory New),$1.44,$1.50
MAG-7 | Storm (Field-Tested),$0.08,$0.09
MAG-7 | Storm (Minimal Wear),$0.16,$0.17
MAG-7 | Storm (Well-Worn),$0.10,$0.11
MAG-7 | SWAG-7 (Battle-Scarred),$0.37,$0.38
MAG-7 | SWAG-7 (Factory New),$1.44,$1.50
MAG-7 | SWAG-7 (Field-Tested),$0.38,$0.39
MAG-7 | SWAG-7 (Minimal Wear),$0.66,$0.69
MAG-7 | SWAG-7 (Well-Worn),$0.37,$0.38
Markus Delrow | FBI HRT,$0.55,$0.57
Masterminds Music Kit Box,$5.30,$5.54
Maximus | Sabre,$0.73,$0.76
Michael Syfers  | FBI Sniper,$0.80,$0.83
Militia Pin,$4.85,$5.07
Mirage Pin,$10.04,$10.49
MLG Columbus 2016 Cache Souvenir Package,$10.70,$11.18
MLG Columbus 2016 Challengers (Holo-Foil),$15.85,$16.57
MLG Columbus 2016 Cobblestone Souvenir Package,$545.83,$570.64
MLG Columbus 2016 Dust II Souvenir Package,$12.56,$13.13
MLG Columbus 2016 Inferno Souvenir Package,$8.78,$9.17
MLG Columbus 2016 Legends (Holo-Foil),$15.31,$16.00
MLG Columbus 2016 Mirage Souvenir Package,$9.02,$9.43
MLG Columbus 2016 Nuke Souvenir Package,$108.47,$113.40
MLG Columbus 2016 Overpass Souvenir Package,$40.41,$42.24
MLG Columbus 2016 Train Souvenir Package,$12.68,$13.25
MP5-SD | Acid Wash (Battle-Scarred),$0.19,$0.20
MP5-SD | Acid Wash (Factory New),$0.49,$0.51
MP5-SD | Acid Wash (Field-Tested),$0.20,$0.21
MP5-SD | Acid Wash (Minimal Wear),$0.35,$0.36
MP5-SD | Acid Wash (Well-Worn),$0.20,$0.21
MP5-SD | Agent (Battle-Scarred),$0.37,$0.38
MP5-SD | Agent (Factory New),$2.25,$2.35
MP5-SD | Agent (Field-Tested),$0.42,$0.43
MP5-SD | Agent (Minimal Wear),$0.70,$0.73
MP5-SD | Agent (Well-Worn),$0.38,$0.39
MP5-SD | Bamboo Garden (Battle-Scarred),$0.12,$0.13
MP5-SD | Bamboo Garden (Factory New),$0.15,$0.16
MP5-SD | Bamboo Garden (Field-Tested),$0.10,$0.11
MP5-SD | Bamboo Garden (Minimal Wear),$0.11,$0.12
MP5-SD | Bamboo Garden (Well-Worn),$0.11,$0.12
MP5-SD | Co-Processor (Battle-Scarred),$0.38,$0.39
MP5-SD | Co-Processor (Factory New),$0.71,$0.74
MP5-SD | Co-Processor (Field-Tested),$0.44,$0.46
MP5-SD | Co-Processor (Minimal Wear),$0.58,$0.60
MP5-SD | Co-Processor (Well-Worn),$0.45,$0.47
MP5-SD | Desert Strike (Battle-Scarred),$0.08,$0.09
MP5-SD | Desert Strike (Factory New),$0.47,$0.49
MP5-SD | Desert Strike (Field-Tested),$0.09,$0.10
MP5-SD | Desert Strike (Minimal Wear),$0.19,$0.20
MP5-SD | Desert Strike (Well-Worn),$0.08,$0.09
MP5-SD | Dirt Drop (Battle-Scarred),$0.03,$0.04
MP5-SD | Dirt Drop (Factory New),$0.13,$0.14
MP5-SD | Dirt Drop (Field-Tested),$0.04,$0.05
MP5-SD | Dirt Drop (Minimal Wear),$0.04,$0.05
MP5-SD | Dirt Drop (Well-Worn),$0.04,$0.05
MP5-SD | Gauss (Battle-Scarred),$0.34,$0.35
MP5-SD | Gauss (Factory New),$1.11,$1.16
MP5-SD | Gauss (Field-Tested),$0.35,$0.36
MP5-SD | Gauss (Minimal Wear),$0.55,$0.57
MP5-SD | Gauss (Well-Worn),$0.35,$0.36
MP5-SD | Phosphor (Battle-Scarred),$3.15,$3.29
MP5-SD | Phosphor (Factory New),$8.60,$8.99
MP5-SD | Phosphor (Field-Tested),$3.52,$3.68
MP5-SD | Phosphor (Minimal Wear),$5.18,$5.41
MP5-SD | Phosphor (Well-Worn),$3.59,$3.75
MP7 | Akoben (Battle-Scarred),$0.08,$0.09
MP7 | Akoben (Factory New),$0.20,$0.21
MP7 | Akoben (Field-Tested),$0.08,$0.09
MP7 | Akoben (Minimal Wear),$0.11,$0.12
MP7 | Akoben (Well-Worn),$0.10,$0.11
MP7 | Anodized Navy (Factory New),$0.64,$0.66
MP7 | Anodized Navy (Minimal Wear),$0.60,$0.62
MP7 | Armor Core (Battle-Scarred),$0.10,$0.11
MP7 | Armor Core (Factory New),$0.20,$0.21
MP7 | Armor Core (Field-Tested),$0.09,$0.10
MP7 | Armor Core (Minimal Wear),$0.13,$0.14
MP7 | Armor Core (Well-Worn),$0.11,$0.12
MP7 | Army Recon (Battle-Scarred),$0.03,$0.04
MP7 | Army Recon (Factory New),$0.10,$0.11
MP7 | Army Recon (Field-Tested),$0.03,$0.04
MP7 | Army Recon (Minimal Wear),$0.03,$0.04
MP7 | Army Recon (Well-Worn),$0.03,$0.04
MP7 | Asterion (Battle-Scarred),$0.59,$0.61
MP7 | Asterion (Factory New),$0.83,$0.86
MP7 | Asterion (Field-Tested),$0.67,$0.70
MP7 | Asterion (Minimal Wear),$0.77,$0.80
MP7 | Asterion (Well-Worn),$0.73,$0.76
MP7 | Bloodsport (Battle-Scarred),$3.12,$3.26
MP7 | Bloodsport (Factory New),$7.45,$7.78
MP7 | Bloodsport (Field-Tested),$3.32,$3.47
MP7 | Bloodsport (Minimal Wear),$5.06,$5.29
MP7 | Bloodsport (Well-Worn),$4.76,$4.97
MP7 | Cirrus (Battle-Scarred),$0.13,$0.14
MP7 | Cirrus (Factory New),$0.53,$0.55
MP7 | Cirrus (Field-Tested),$0.12,$0.13
MP7 | Cirrus (Minimal Wear),$0.19,$0.20
MP7 | Cirrus (Well-Worn),$0.22,$0.23
MP7 | Fade (Factory New),$17.27,$18.05
MP7 | Fade (Field-Tested),$12.37,$12.93
MP7 | Fade (Minimal Wear),$12.68,$13.25
MP7 | Forest DDPAT (Battle-Scarred),$0.03,$0.04
MP7 | Forest DDPAT (Factory New),$0.10,$0.11
MP7 | Forest DDPAT (Field-Tested),$0.03,$0.04
MP7 | Forest DDPAT (Minimal Wear),$0.03,$0.04
MP7 | Forest DDPAT (Well-Worn),$0.03,$0.04
MP7 | Full Stop (Battle-Scarred),$3.77,$3.94
MP7 | Full Stop (Factory New),$5.84,$6.10
MP7 | Full Stop (Field-Tested),$3.49,$3.64
MP7 | Full Stop (Minimal Wear),$4.05,$4.23
MP7 | Full Stop (Well-Worn),$4.15,$4.33
MP7 | Groundwater (Battle-Scarred),$0.81,$0.84
MP7 | Groundwater (Factory New),$7.07,$7.39
MP7 | Groundwater (Field-Tested),$0.39,$0.40
MP7 | Groundwater (Minimal Wear),$0.99,$1.03
MP7 | Groundwater (Well-Worn),$0.60,$0.62
MP7 | Gunsmoke (Battle-Scarred),$0.46,$0.48
MP7 | Gunsmoke (Factory New),$3.42,$3.57
MP7 | Gunsmoke (Field-Tested),$0.47,$0.49
MP7 | Gunsmoke (Minimal Wear),$0.77,$0.80
MP7 | Gunsmoke (Well-Worn),$0.44,$0.46
MP7 | Impire (Factory New),$2.07,$2.16
MP7 | Impire (Field-Tested),$0.86,$0.89
MP7 | Impire (Minimal Wear),$1.27,$1.32
MP7 | Impire (Well-Worn),$0.96,$1.00
MP7 | Mischief (Battle-Scarred),$0.11,$0.12
MP7 | Mischief (Field-Tested),$0.13,$0.14
MP7 | Mischief (Minimal Wear),$0.34,$0.35
MP7 | Mischief (Well-Worn),$0.13,$0.14
MP7 | Motherboard (Battle-Scarred),$0.11,$0.12
MP7 | Motherboard (Factory New),$0.24,$0.25
MP7 | Motherboard (Field-Tested),$0.11,$0.12
MP7 | Motherboard (Minimal Wear),$0.14,$0.15
MP7 | Motherboard (Well-Worn),$0.11,$0.12
MP7 | Nemesis (Factory New),$8.76,$9.15
MP7 | Nemesis (Field-Tested),$3.72,$3.88
MP7 | Nemesis (Minimal Wear),$5.00,$5.22
MP7 | Neon Ply (Battle-Scarred),$0.45,$0.47
MP7 | Neon Ply (Factory New),$3.06,$3.19
MP7 | Neon Ply (Field-Tested),$0.61,$0.63
MP7 | Neon Ply (Minimal Wear),$1.38,$1.44
MP7 | Neon Ply (Well-Worn),$0.42,$0.43
MP7 | Ocean Foam (Factory New),$2.53,$2.64
MP7 | Ocean Foam (Minimal Wear),$2.33,$2.43
MP7 | Olive Plaid (Battle-Scarred),$7.08,$7.40
MP7 | Olive Plaid (Factory New),$1.01,$1.05
MP7 | Olive Plaid (Field-Tested),$0.55,$0.57
MP7 | Olive Plaid (Minimal Wear),$0.61,$0.63
MP7 | Olive Plaid (Well-Worn),$0.77,$0.80
MP7 | Orange Peel (Battle-Scarred),$2.58,$2.69
MP7 | Orange Peel (Factory New),$4.29,$4.48
MP7 | Orange Peel (Field-Tested),$2.29,$2.39
MP7 | Orange Peel (Minimal Wear),$2.87,$3.00
MP7 | Orange Peel (Well-Worn),$2.40,$2.50
MP7 | Powercore (Battle-Scarred),$0.39,$0.40
MP7 | Powercore (Factory New),$1.71,$1.78
MP7 | Powercore (Field-Tested),$0.40,$0.41
MP7 | Powercore (Minimal Wear),$0.89,$0.93
MP7 | Powercore (Well-Worn),$0.61,$0.63
MP7 | Scorched (Battle-Scarred),$0.23,$0.24
MP7 | Scorched (Factory New),$0.94,$0.98
MP7 | Scorched (Field-Tested),$0.24,$0.25
MP7 | Scorched (Minimal Wear),$0.25,$0.26
MP7 | Scorched (Well-Worn),$0.26,$0.27
MP7 | Skulls (Field-Tested),$6.27,$6.55
MP7 | Skulls (Minimal Wear),$6.41,$6.70
MP7 | Special Delivery (Battle-Scarred),$0.92,$0.96
MP7 | Special Delivery (Factory New),$2.67,$2.79
MP7 | Special Delivery (Field-Tested),$1.11,$1.16
MP7 | Special Delivery (Minimal Wear),$1.81,$1.89
MP7 | Special Delivery (Well-Worn),$1.06,$1.10
MP7 | Teal Blossom (Battle-Scarred),$6.89,$7.20
MP7 | Teal Blossom (Factory New),$7.37,$7.70
MP7 | Teal Blossom (Field-Tested),$6.82,$7.13
MP7 | Teal Blossom (Minimal Wear),$7.51,$7.85
MP7 | Teal Blossom (Well-Worn),$7.21,$7.53
MP7 | Urban Hazard (Battle-Scarred),$0.09,$0.10
MP7 | Urban Hazard (Factory New),$0.20,$0.21
MP7 | Urban Hazard (Field-Tested),$0.08,$0.09
MP7 | Urban Hazard (Minimal Wear),$0.11,$0.12
MP7 | Urban Hazard (Well-Worn),$0.10,$0.11
MP7 | Whiteout (Battle-Scarred),$2.69,$2.81
MP7 | Whiteout (Factory New),$286.74,$299.77
MP7 | Whiteout (Field-Tested),$2.77,$2.89
MP7 | Whiteout (Minimal Wear),$30.76,$32.15
MP7 | Whiteout (Well-Worn),$2.78,$2.90
MP9 | Airlock (Battle-Scarred),$1.82,$1.90
MP9 | Airlock (Factory New),$7.62,$7.96
MP9 | Airlock (Field-Tested),$1.96,$2.04
MP9 | Airlock (Minimal Wear),$3.26,$3.40
MP9 | Airlock (Well-Worn),$1.85,$1.93
MP9 | Bioleak (Battle-Scarred),$0.20,$0.21
MP9 | Bioleak (Factory New),$0.40,$0.41
MP9 | Bioleak (Field-Tested),$0.14,$0.15
MP9 | Bioleak (Minimal Wear),$0.31,$0.32
MP9 | Bioleak (Well-Worn),$0.24,$0.25
MP9 | Black Sand (Battle-Scarred),$0.08,$0.09
MP9 | Black Sand (Factory New),$0.24,$0.25
MP9 | Black Sand (Field-Tested),$0.08,$0.09
MP9 | Black Sand (Minimal Wear),$0.11,$0.12
MP9 | Black Sand (Well-Worn),$0.08,$0.09
MP9 | Bulldozer (Battle-Scarred),$16.37,$17.11
MP9 | Bulldozer (Factory New),$401.73,$419.99
MP9 | Bulldozer (Field-Tested),$21.30,$22.26
MP9 | Bulldozer (Minimal Wear),$82.43,$86.17
MP9 | Bulldozer (Well-Worn),$20.75,$21.69
MP9 | Capillary (Battle-Scarred),$0.11,$0.12
MP9 | Capillary (Factory New),$0.38,$0.39
MP9 | Capillary (Field-Tested),$0.12,$0.13
MP9 | Capillary (Minimal Wear),$0.24,$0.25
MP9 | Capillary (Well-Worn),$0.20,$0.21
MP9 | Dark Age (Factory New),$32.65,$34.13
MP9 | Dark Age (Field-Tested),$55.00,$57.50
MP9 | Dark Age (Minimal Wear),$35.04,$36.63
MP9 | Dart (Battle-Scarred),$0.44,$0.46
MP9 | Dart (Factory New),$0.55,$0.57
MP9 | Dart (Field-Tested),$0.26,$0.27
MP9 | Dart (Minimal Wear),$0.39,$0.40
MP9 | Dart (Well-Worn),$0.31,$0.32
MP9 | Deadly Poison (Battle-Scarred),$0.12,$0.13
MP9 | Deadly Poison (Factory New),$1.44,$1.50
MP9 | Deadly Poison (Field-Tested),$0.16,$0.17
MP9 | Deadly Poison (Minimal Wear),$0.29,$0.30
MP9 | Deadly Poison (Well-Worn),$0.14,$0.15
MP9 | Dry Season (Battle-Scarred),$0.38,$0.39
MP9 | Dry Season (Factory New),$4.75,$4.96
MP9 | Dry Season (Field-Tested),$0.40,$0.41
MP9 | Dry Season (Minimal Wear),$0.99,$1.03
MP9 | Dry Season (Well-Worn),$0.62,$0.64
MP9 | Goo (Battle-Scarred),$0.37,$0.38
MP9 | Goo (Factory New),$1.06,$1.10
MP9 | Goo (Field-Tested),$0.39,$0.40
MP9 | Goo (Minimal Wear),$0.58,$0.60
MP9 | Goo (Well-Worn),$0.44,$0.46
MP9 | Green Plaid (Battle-Scarred),$0.80,$0.83
MP9 | Green Plaid (Factory New),$1.44,$1.50
MP9 | Green Plaid (Field-Tested),$0.52,$0.54
MP9 | Green Plaid (Minimal Wear),$0.70,$0.73
MP9 | Green Plaid (Well-Worn),$2.22,$2.32
MP9 | Hot Rod (Factory New),$17.84,$18.65
MP9 | Hot Rod (Minimal Wear),$19.12,$19.98
MP9 | Hydra (Battle-Scarred),$2.97,$3.10
MP9 | Hydra (Factory New),$9.79,$10.23
MP9 | Hydra (Field-Tested),$3.36,$3.51
MP9 | Hydra (Minimal Wear),$4.95,$5.17
MP9 | Hydra (Well-Worn),$3.20,$3.34
MP9 | Hypnotic (Factory New),$4.93,$5.15
MP9 | Hypnotic (Minimal Wear),$6.56,$6.85
MP9 | Modest Threat (Battle-Scarred),$0.08,$0.09
MP9 | Modest Threat (Factory New),$0.25,$0.26
MP9 | Modest Threat (Field-Tested),$0.08,$0.09
MP9 | Modest Threat (Minimal Wear),$0.10,$0.11
MP9 | Modest Threat (Well-Worn),$0.11,$0.12
MP9 | Orange Peel (Battle-Scarred),$0.07,$0.08
MP9 | Orange Peel (Factory New),$0.39,$0.40
MP9 | Orange Peel (Field-Tested),$0.07,$0.08
MP9 | Orange Peel (Minimal Wear),$0.09,$0.10
MP9 | Orange Peel (Well-Worn),$0.07,$0.08
MP9 | Pandora's Box (Factory New),$32.36,$33.83
MP9 | Pandora's Box (Field-Tested),$28.68,$29.98
MP9 | Pandora's Box (Minimal Wear),$29.66,$31.00
MP9 | Rose Iron (Factory New),$8.09,$8.45
MP9 | Rose Iron (Field-Tested),$6.38,$6.67
MP9 | Rose Iron (Minimal Wear),$6.34,$6.62
MP9 | Ruby Poison Dart (Battle-Scarred),$0.86,$0.89
MP9 | Ruby Poison Dart (Factory New),$1.84,$1.92
MP9 | Ruby Poison Dart (Field-Tested),$0.69,$0.72
MP9 | Ruby Poison Dart (Minimal Wear),$1.08,$1.12
MP9 | Ruby Poison Dart (Well-Worn),$0.89,$0.93
MP9 | Sand Dashed (Battle-Scarred),$0.03,$0.04
MP9 | Sand Dashed (Factory New),$0.15,$0.16
MP9 | Sand Dashed (Field-Tested),$0.03,$0.04
MP9 | Sand Dashed (Minimal Wear),$0.03,$0.04
MP9 | Sand Dashed (Well-Worn),$0.03,$0.04
MP9 | Sand Scale (Factory New),$0.27,$0.28
MP9 | Sand Scale (Field-Tested),$0.11,$0.12
MP9 | Sand Scale (Minimal Wear),$0.17,$0.18
MP9 | Sand Scale (Well-Worn),$0.11,$0.12
MP9 | Setting Sun (Battle-Scarred),$1.04,$1.08
MP9 | Setting Sun (Factory New),$4.10,$4.28
MP9 | Setting Sun (Field-Tested),$1.89,$1.97
MP9 | Setting Sun (Minimal Wear),$2.76,$2.88
MP9 | Setting Sun (Well-Worn),$1.11,$1.16
MP9 | Slide (Battle-Scarred),$0.03,$0.04
MP9 | Slide (Factory New),$0.12,$0.13
MP9 | Slide (Field-Tested),$0.04,$0.05
MP9 | Slide (Minimal Wear),$0.04,$0.05
MP9 | Slide (Well-Worn),$0.04,$0.05
MP9 | Stained Glass (Battle-Scarred),$27.30,$28.54
MP9 | Stained Glass (Factory New),$27.86,$29.12
MP9 | Stained Glass (Field-Tested),$23.37,$24.43
MP9 | Stained Glass (Minimal Wear),$27.80,$29.06
MP9 | Stained Glass (Well-Worn),$65.40,$68.37
MP9 | Storm (Battle-Scarred),$0.07,$0.08
MP9 | Storm (Factory New),$2.97,$3.10
MP9 | Storm (Field-Tested),$0.08,$0.09
MP9 | Storm (Minimal Wear),$0.24,$0.25
MP9 | Storm (Well-Worn),$0.10,$0.11
MP9 | Wild Lily (Battle-Scarred),$226.33,$236.61
MP9 | Wild Lily (Factory New),$434.47,$454.21
MP9 | Wild Lily (Field-Tested),$220.58,$230.60
MP9 | Wild Lily (Minimal Wear),$363.53,$380.05
MP9 | Wild Lily (Well-Worn),$306.21,$320.12
Music Kit | Amon Tobin, All for Dust,$4.19,$4.38
Music Kit | Austin Wintory, Bachram,$4.27,$4.46
Music Kit | Austin Wintory, Desert Fire,$3.61,$3.77
Music Kit | AWOLNATION, I Am,$3.77,$3.94
Music Kit | Beartooth, Disgusting,$4.11,$4.29
Music Kit | Damjan Mravunac, The Talos Principle,$3.72,$3.88
Music Kit | Daniel Sadowski, Crimson Assault,$2.86,$2.99
Music Kit | Daniel Sadowski, Eye of the Dragon,$5.75,$6.01
Music Kit | Daniel Sadowski, The 8-Bit Kit,$3.25,$3.39
Music Kit | Daniel Sadowski, Total Domination,$3.27,$3.41
Music Kit | Darude, Moments CSGO,$3.66,$3.82
Music Kit | Dren, Death's Head Demolition,$3.32,$3.47
Music Kit | Dren, Gunman Taco Truck,$18.76,$19.61
Music Kit | Feed Me, High Noon,$3.50,$3.65
Music Kit | Ian Hultquist, Lion's Mouth,$4.09,$4.27
Music Kit | Kelly Bailey, Hazardous Environments,$3.65,$3.81
Music Kit | Ki:Theory, MOLOTOV,$3.14,$3.28
Music Kit | Lennie Moore, Java Havana Funkaloo,$4.51,$4.71
Music Kit | Mateo Messina, For No Mankind,$3.31,$3.46
Music Kit | Matt Lange, IsoRhythm,$3.30,$3.45
Music Kit | Matt Levine, Drifter,$2.38,$2.48
Music Kit | Michael Bross, Invasion!,$3.78,$3.95
Music Kit | Midnight Riders, All I Want for Christmas,$2.97,$3.10
Music Kit | Mord Fustang, Diamonds,$3.14,$3.28
Music Kit | New Beat Fund, Sponge Fingerz,$5.15,$5.38
Music Kit | Noisia, Sharpened,$4.15,$4.33
Music Kit | Proxy, Battlepack,$3.32,$3.47
Music Kit | Robert Allaire, Insurgency,$4.10,$4.28
Music Kit | Sam Marshall, Bodacious,$4.26,$4.45
Music Kit | Sasha, LNOE,$3.64,$3.80
Music Kit | Scarlxrd: King, Scar,$4.00,$4.18
Music Kit | Sean Murray, A*D*8,$3.02,$3.15
Music Kit | Skog, II-Headshot,$3.39,$3.54
Music Kit | Skog, Metal,$3.82,$3.99
Music Kit | The Verkkars, EZ4ENCE,$5.20,$5.43
Music Kit | Tim Huling, Neo Noir,$1.56,$1.63
Music Kit | Tree Adams and Ben Bromfield, M.U.D.D. FORCE,$1.57,$1.64
Music Kit | Troels Folmann, Uber Blasto Phone,$3.46,$3.61
Music Kit | Various Artists, Hotline Miami,$3.49,$3.64
Name Tag,$2.01,$2.10
Negev | Anodized Navy (Factory New),$200.87,$210.00
Negev | Anodized Navy (Minimal Wear),$324.94,$339.71
Negev | Army Sheen (Factory New),$0.07,$0.08
Negev | Army Sheen (Field-Tested),$0.03,$0.04
Negev | Army Sheen (Minimal Wear),$0.03,$0.04
Negev | Boroque Sand (Battle-Scarred),$0.10,$0.11
Negev | Boroque Sand (Factory New),$0.88,$0.92
Negev | Boroque Sand (Field-Tested),$0.11,$0.12
Negev | Boroque Sand (Minimal Wear),$0.22,$0.23
Negev | Boroque Sand (Well-Worn),$0.09,$0.10
Negev | Bratatat (Battle-Scarred),$0.38,$0.39
Negev | Bratatat (Factory New),$4.45,$4.65
Negev | Bratatat (Field-Tested),$0.60,$0.62
Negev | Boroque Sand (Minimal Wear),$0.18,$0.19
Negev | Boroque Sand (Well-Worn),$0.09,$0.10
Negev | Bratatat (Battle-Scarred),$0.40,$0.41
Negev | Bratatat (Factory New),$3.57,$3.73
Negev | Bratatat (Field-Tested),$0.52,$0.54
Negev | Bratatat (Minimal Wear),$0.94,$0.98
Negev | Bratatat (Well-Worn),$0.42,$0.43
Negev | Bulkhead (Battle-Scarred),$0.10,$0.11
Negev | Bulkhead (Factory New),$0.23,$0.24
Negev | Bulkhead (Field-Tested),$0.10,$0.11
Negev | Bulkhead (Minimal Wear),$0.15,$0.16
Negev | Bulkhead (Well-Worn),$0.10,$0.11
Negev | CaliCamo (Battle-Scarred),$2.22,$2.32
Negev | CaliCamo (Factory New),$2.17,$2.26
Negev | CaliCamo (Field-Tested),$2.00,$2.09
Negev | CaliCamo (Minimal Wear),$2.14,$2.23
Negev | CaliCamo (Well-Worn),$2.59,$2.70
Negev | Dazzle (Battle-Scarred),$0.08,$0.09
Negev | Dazzle (Field-Tested),$0.08,$0.09
Negev | Dazzle (Minimal Wear),$0.20,$0.21
Negev | Dazzle (Well-Worn),$0.09,$0.10
Negev | Desert-Strike (Battle-Scarred),$0.08,$0.09
Negev | Desert-Strike (Factory New),$0.17,$0.18
Negev | Desert-Strike (Field-Tested),$0.08,$0.09
Negev | Desert-Strike (Minimal Wear),$0.10,$0.11
Negev | Desert-Strike (Well-Worn),$0.08,$0.09
Negev | Lionfish (Battle-Scarred),$0.37,$0.38
Negev | Lionfish (Factory New),$1.01,$1.05
Negev | Lionfish (Field-Tested),$0.37,$0.38
Negev | Lionfish (Minimal Wear),$0.57,$0.59
Negev | Lionfish (Well-Worn),$0.42,$0.43
Negev | Loudmouth (Battle-Scarred),$0.42,$0.43
Negev | Loudmouth (Field-Tested),$0.36,$0.37
Negev | Loudmouth (Minimal Wear),$3.85,$4.02
Negev | Loudmouth (Well-Worn),$0.56,$0.58
Negev | Man-o'-war (Field-Tested),$0.09,$0.10
Negev | Man-o'-war (Minimal Wear),$0.11,$0.12
Negev | Mjölnir (Battle-Scarred),$502.16,$524.98
Negev | Mjölnir (Factory New),$585.79,$612.41
Negev | Mjölnir (Field-Tested),$432.69,$452.35
Negev | Mjölnir (Minimal Wear),$507.62,$530.69
Negev | Nuclear Waste (Factory New),$0.61,$0.63
Negev | Nuclear Waste (Field-Tested),$0.40,$0.41
Negev | Nuclear Waste (Minimal Wear),$0.69,$0.72
Negev | Nuclear Waste (Well-Worn),$0.72,$0.75
Negev | Palm (Battle-Scarred),$0.96,$1.00
Negev | Palm (Factory New),$10.71,$11.19
Negev | Palm (Field-Tested),$0.96,$1.00
Negev | Palm (Minimal Wear),$1.63,$1.70
Negev | Palm (Well-Worn),$1.00,$1.04
Negev | Power Loader (Battle-Scarred),$0.81,$0.84
Negev | Power Loader (Factory New),$7.32,$7.65
Negev | Power Loader (Field-Tested),$1.36,$1.42
Negev | Power Loader (Minimal Wear),$2.98,$3.11
Negev | Power Loader (Well-Worn),$0.89,$0.93
Negev | Prototype (Battle-Scarred),$0.09,$0.10
Negev | Prototype (Factory New),$0.33,$0.34
